// Auxiliary verbs,,,,,,,,,,,
new_display_form,new_han_reading,basic_form,conjugated_form,pos,pos_detail_1,pronunciation,reading,surface_form,word_id,word_position,word_type
叨,,です,,助動詞,,,,です,,,
叨,,です,,助動詞,,,,だ,,,
叨,,だ,,助動詞,,,,,,,
,,です,,助動詞,,,,でし,,,
了,リョウ,た,,助動詞,,,,,,,
ま,,ます,,助動詞,,,,まし,,,
ま,,ます,,助動詞,,,,ます,,,
ま,,ます,,助動詞,,,,ませ,,,
ま,,ます,,助動詞,,,,ましょ,,,
る,,る,,助動詞,,,,,,,
さ,,させる,,助動詞,,,,,,,
不,,ん,,助動詞,,,,,,,
不,,ない,,助動詞,,,,,,,
夬,,べし,,助動詞,,,,,,,
有,,有る,,助動詞,,,,,,,
居,,居る,,助動詞,,,,,,,
// Non-independent verbs,,,,,,,,,,,
請,セイ,くださる,,動詞,非自立,,,,,,
請,セイ,下さる,,動詞,非自立,,,,,,
有,,有る,,動詞,非自立,,,,,,
居,,居る,,動詞,非自立,,,,,,
// Suffixes,,,,,,,,,,,
れ,,れる,,動詞,接尾,,,,,,
せ,,せる,,,,,,,,,
ら,,られる,,動詞,接尾,,,,,,
